7521,"e2a3db44-c5a2-40ab-a02d-ab989529f1b2,Tony morning,5601,Books,Harry Potter,Card,40,8698,2007-07-26 20:58:34,Korea,Busan,www.eatvegtables.com,8182,Y,"
7522,"c90dddfa-2944-4fe7-8052-c2c66f80a048,Cameron nova,65587,Electronics,laptop,Card,47,6943,2016-03-29 01:45:34,Brazil,Brasilia,www.jacobblack.com,2300,Y,"
7523,"ec5c076b-9c50-4ca4-a799-6ec25a68145d,Mai elemental,76035,Music,Happier Than Ever,UPI,20,3108,2020-04-03 16:20:34,Korea,Gwangju,www.hesjks.com,8478,Y,"
7524,"b7083a7c-9c96-449c-a8ed-79b92b45e91b,Cameron blessing,1502,Stationery,Markers,Internet Banking,44,1125,2020-09-21 20:36:34,Colombia,Barranquilla,www.happyy.com,5692,Y,"
7525,"d4bf7dfa-75a3-45f4-b88e-3ea566061ff3,Mai game,87578,Stationery,Markers,Internet Banking,18,3410,2005-02-23 05:35:34,Colombia,Barranquilla,www.goodbye.com,9441,Y,"
7526,"5ee84da9-2f25-44d0-89cc-9f36052585ba,Daulton leaf,11365,Stationery,Pencil,Card,22,2305,2005-05-16 12:40:34,Colombia,Medellin,www.amazon.com,1658,Y,"
7527,"26059a14-482b-47b4-91c3-8a087fbd0186,Giancarlos burst,43343,Stationery,Markers,Card,19,7699,2009-06-28 04:16:34,USA,Boston,wwww.crystals.com,2344,N,Invalid Name"
7528,"5aa1b337-2682-4a39-99f3-625bb29190d8,Tony rain,17295,Clothing,Yves Saint Laurent,Card,13,9598,2004-05-03 13:56:34,Colombia,Medellin,www.hesjks.com,77,N,Incorrect Billing Address"
7529,"0561add3-375c-452f-aa13-00241bf52d3d,Hardik snow,97493,Electronics,laptop,Wallet,13,9665,2013-05-29 22:09:34,Brazil,Sao Paulo,www.weloveapples.com,5729,Y,"
7530,"66206baa-5216-4e5d-abea-7894f830436f,Sunshine morning,36370,Music,Happier Than Ever,Card,39,822,2003-01-22 23:48:34,Brazil,Salvador,www.jacobblack.com,9735,Y,"
7531,"2ad306ab-2262-4ae9-9823-10a5b9216592,Hardik sunset,48909,Clothing,Yeezy,Wallet,43,6085,2012-04-12 05:34:34,Colombia,Bogota,www.thetable.com,4370,Y,"
7532,"7aa53496-0b36-4682-a540-2257378bc705,Summer game,30370,Stationery,Markers,UPI,35,4587,2001-12-23 12:39:34,Brazil,Rio de Janeiro,www.jekh@gmail.com,2245,N,Invalid Name"
7533,"f9b0c32a-130a-4c48-885e-7c51fd8f7f9f,Brandon giant,72383,Electronics,CellPhone,UPI,32,9286,2012-08-15 18:27:34,USA,Boston,www.craigslist.com,150,Y,"
7534,"75cd06f2-5a15-4a1f-8529-37ec64e8af4b,Kyle burst,97979,Books,The Da Vinci Code,Internet Banking,12,4908,2008-09-12 12:19:34,Japan,Kyoto,www.weloveapples.com,6153,Y,"
7535,"bd977a93-17f2-4860-a19c-6604405d858e,Steve Rodgers,20252,Clothing,Yeezy,Card,42,9647,2000-01-26 11:46:34,Korea,Gwangju,www.jacobblack.com,2202,Y,"
7536,"02f58685-8ee0-43ab-8448-5129c5484797,Daulton shadow,24594,Music,ANTI,Internet Banking,15,3264,2000-12-24 09:36:34,Japan,Tokyo,www.happyy.com,3790,N,Invalid CVV"
7537,"1f80b69d-9e67-4370-bce0-237daa9fb609,Cameron blessing,72539,Music,ANTI,UPI,7,2134,2018-07-11 17:12:34,Korea,Gwangju,www.blah.com,4190,Y,"
7538,"93678d3e-350b-48fc-8f8c-8726d85810e5,Mai giant,26692,Clothing,Yeezy,,36,1469,2017-01-04 08:17:34,USA,New York City,www.amazon.com,5683,N,Invalid Name"
7539,"62b163fa-c37f-41e1-aa93-2092339735fe,Miles shadow,22082,Clothing,Hermes,UPI,7,9799,2019-03-15 17:54:34,UK,London,www.facebook.marketplace.com,7061,Y,"
7540,"60ae806e-385b-4d7a-b2ee-8de8e27f60b9,Daulton shadow,9834,Books,Harry Potter,Wallet,49,9182,2014-09-03 15:31:34,India,Bangalore,www.jekh@gmail.com,8010,N,Invalid Name"
7541,"8220f315-e9d9-48a3-a4c2-2c7952eb5e0b,Daulton leaf,19610,Electronics,iPad,UPI,3,9191,2009-02-22 23:58:34,India,Mumbai,www.google.com,728,Y,"
7542,"f7b1b432-cf09-49a8-9160-3cfb3fe2b96a,Keisha rain,57602,Music,Happier Than Ever,UPI,37,267,2004-10-15 14:17:34,India,Mumbai,www.thetable.com,7342,Y,"
7543,"798b82cc-544f-491b-977e-1a9042bfec9e,Keisha rain,69726,Stationery,Notepad,UPI,42,3194,2002-08-08 04:25:34,India,Mumbai,www.amazon.com,4390,Y,"
7544,"5e0e23c0-d9d1-4562-a7d2-d7ebb15f3a9c,Steve Stark,17939,Books,The Da Vinci Code,Card,48,3193,2000-12-24 18:26:34,Brazil,Rio de Janeiro,www.ebay.com,6910,Y,"
7545,"b1c5b66b-db31-442f-8f20-cb18509ef4c9,Brandon game,91585,Clothing,Yves Saint Laurent,Card,14,7880,2010-06-05 21:27:34,Japan,Osaka,www.craigslist.com,3205,Y,"
